Date,KOSPI,PortA,PortB
2014-04-08,1993.03,1058.29,1008.29
2014-04-09,1998.95,1058.77,1008.85
2014-04-10,2008.61,1059.77,1010.05
2014-04-11,1997.44,1058.78,1008.86
2014-04-12,1997.44,1060.7,1010.96
2014-04-13,1997.44,1060.14,1010.38
2014-04-14,1997.02,1058.88,1008.95
2014-04-15,1992.27,1058.58,1008.61
2014-04-16,1992.21,1059.48,1009.67
2014-04-17,1992.05,1061.41,1011.79
2014-04-18,2004.28,1062.03,1012.48
2014-04-19,2004.28,1058.1,1008.31
2014-04-20,2004.28,1054.01,1003.68
2014-04-21,1999.22,1055.03,1004.8
2014-04-22,2004.22,1050.84,1000.07
2014-04-23,2000.37,1048.31,997.27
2014-04-24,1998.34,1051.85,1001.23
2014-04-25,1971.66,1053.49,1003.05
2014-04-26,1971.66,1054.67,1004.29
2014-04-27,1971.66,1058.23,1008.28
2014-04-28,1969.26,1060.15,1010.38
2014-04-29,1964.77,1057.69,1007.55
2014-04-30,1961.79,1057.55,1007.39
2014-05-01,1961.79,1052.83,1001.64
2014-05-02,1959.44,1053.77,1002.7
2014-05-03,1959.44,1052.59,1001.39
2014-05-04,1959.44,1049.73,998.42
2014-05-05,1959.44,1051.14,999.92
2014-05-06,1959.44,1052.8,1001.7
2014-05-07,1939.88,1050.85,999.55
2014-05-08,1950.6,1051.78,1000.68
2014-05-09,1956.55,1048.55,997.26
2014-05-10,1956.55,1049.94,998.81
2014-05-11,1956.55,1052.35,1001.57
2014-05-12,1964.94,1054.13,1003.59
2014-05-13,1982.93,1053.89,1003.33
2014-05-14,2010.83,1053.14,1002.5
2014-05-15,2010.2,1055.85,1005.48
2014-05-16,2013.44,1056.59,1006.29
2014-05-17,2013.44,1057.66,1007.46
2014-05-18,2013.44,1057.05,1006.76
2014-05-19,2015.14,1056.49,1006.11
2014-05-20,2011.26,1051.6,1000.73
2014-05-21,2008.33,1053.62,1003.02
2014-05-22,2015.59,1050.08,999
2014-05-23,2017.17,1049.71,998.63
2014-05-24,2017.17,1049.16,998.03
2014-05-25,2017.17,1050.28,999.33
2014-05-26,2010.35,1052.65,1001.98
2014-05-27,1997.63,1051,1000.24
2014-05-28,2017.06,1052.14,1001.48
2014-05-29,2012.26,1052.48,1001.87
2014-05-30,1994.96,1053.22,1002.72
2014-05-31,1994.96,1053.94,1003.55
2014-06-01,1994.96,1052.59,1002.14
2014-06-02,2002,1049.03,998.3
2014-06-03,2008.56,1049.42,998.73
2014-06-04,2008.56,1050.51,1000.01
2014-06-05,1995.48,1052.06,1001.64
2014-06-06,1995.48,1052.38,1001.97
2014-06-07,1995.48,1052.56,1002.17
2014-06-08,1995.48,1053.2,1002.83
2014-06-09,1990.04,1055.55,1005.65
2014-06-10,2011.8,1058.06,1008.41
2014-06-11,2014.67,1058.92,1009.3
2014-06-12,2011.65,1059.1,1009.5
2014-06-13,1990.85,1060.2,1010.69
2014-06-14,1990.85,1061.01,1011.57
2014-06-15,1990.85,1060.36,1010.89
2014-06-16,1993.59,1058.72,1009.04
2014-06-17,2001.55,1058.24,1008.54
2014-06-18,1989.49,1060.92,1011.55
2014-06-19,1992.03,1064.54,1015.54
2014-06-20,1968.07,1063.27,1014.1
2014-06-21,1968.07,1063.81,1014.74
2014-06-22,1968.07,1065.12,1016.26
2014-06-23,1974.92,1064.66,1015.74
2014-06-24,1994.35,1066.85,1018.2
2014-06-25,1981.77,1064.08,1015.35
2014-06-26,1995.05,1064.2,1015.48
2014-06-27,1988.51,1066.82,1018.31
2014-06-28,1988.51,1066.87,1018.37
2014-06-29,1988.51,1062.88,1013.98
2014-06-30,2002.21,1064.89,1016.06
2014-07-01,1999,1064.76,1015.91
2014-07-02,2015.28,1065.64,1016.93
2014-07-03,2010.97,1067.43,1018.78
2014-07-04,2009.66,1067.16,1018.47
2014-07-05,2009.66,1067.26,1018.58
2014-07-06,2009.66,1068.76,1020.2
2014-07-07,2005.12,1065.95,1017.21
2014-07-08,2006.66,1061.98,1012.93
2014-07-09,2000.5,1058.26,1008.84
2014-07-10,2002.84,1060.92,1011.54
2014-07-11,1988.74,1056.71,1006.91
2014-07-12,1988.74,1057.39,1007.67
2014-07-13,1988.74,1053.25,1003.05
2014-07-14,1993.88,1052.5,1002.15
2014-07-15,2012.72,1053.06,1002.72
2014-07-16,2013.48,1048.42,997.6
2014-07-17,2020.9,1051.9,1001.33
2014-07-18,2019.42,1052.67,1002.19
2014-07-19,2019.42,1051.19,1000.46
2014-07-20,2019.42,1048.41,997.47
2014-07-21,2018.5,1050.14,999.36
2014-07-22,2028.93,1049.2,998.27
2014-07-23,2028.32,1044.63,993.19
2014-07-24,2026.62,1039.11,986.81
2014-07-25,2033.85,1040.53,988.37
2014-07-26,2033.85,1040.96,988.83
2014-07-27,2033.85,1036.38,983.9
2014-07-28,2048.81,1038.58,986.15
2014-07-29,2061.97,1038.23,985.79
2014-07-30,2082.61,1043.77,991.83
2014-07-31,2076.12,1042.52,990.48
2014-08-01,2073.1,1039.4,987.1
2014-08-02,2073.1,1039.53,987.25
2014-08-03,2073.1,1041.09,988.9
2014-08-04,2080.42,1039.77,987.55
2014-08-05,2066.26,1041.05,988.89
2014-08-06,2060.73,1042.22,990.1
2014-08-07,2054.51,1041.07,988.82
2014-08-08,2031.1,1044,992.06
2014-08-09,2031.1,1048.16,996.24
2014-08-10,2031.1,1048.04,996.11
2014-08-11,2039.37,1046.93,994.92
2014-08-12,2041.47,1046.34,994.27
2014-08-13,2062.36,1044.41,992.13
2014-08-14,2063.22,1045.53,993.43
2014-08-15,2063.22,1048.86,996.99
2014-08-16,2063.22,1049.03,997.18
2014-08-17,2063.22,1048.55,996.64
2014-08-18,2053.13,1047,995.04
2014-08-19,2071.14,1043.26,990.72
2014-08-20,2072.78,1040.68,988.01
2014-08-21,2044.21,1040.74,988.08
2014-08-22,2056.7,1045.76,993.69
2014-08-23,2056.7,1045.65,993.57
2014-08-24,2056.7,1044.66,992.5
2014-08-25,2060.89,1046.83,994.99
2014-08-26,2068.05,1046.68,994.83
2014-08-27,2074.93,1048.87,997.3
2014-08-28,2075.76,1048.88,997.32
2014-08-29,2068.54,1048.85,997.28
2014-08-30,2068.54,1047.61,995.83
2014-08-31,2068.54,1048.64,996.95
2014-09-01,2067.86,1048.31,996.62
2014-09-02,2051.58,1049.98,998.38
2014-09-03,2051.2,1047.96,996.22
2014-09-04,2056.26,1051.02,999.28
2014-09-05,2049.41,1051.41,999.74
2014-09-06,2049.41,1049.88,998.04
2014-09-07,2049.41,1048.19,996.15
2014-09-08,2049.41,1048.72,996.72
2014-09-09,2049.41,1051.28,999.61
2014-09-10,2049.41,1052.84,1001.32
2014-09-11,2034.16,1053.33,1001.85
2014-09-12,2041.86,1052.13,1000.59
2014-09-13,2041.86,1053.93,1002.45
2014-09-14,2041.86,1052.5,1000.9
2014-09-15,2035.82,1051.36,999.63
2014-09-16,2042.92,1053.06,1001.58
2014-09-17,2062.61,1052.79,1001.29
2014-09-18,2047.74,1054.83,1003.59
2014-09-19,2053.82,1054.25,1002.92
2014-09-20,2053.82,1055.4,1004.21
2014-09-21,2053.82,1055.9,1004.76
2014-09-22,2039.27,1056.21,1005.09
2014-09-23,2028.91,1056.62,1005.52
2014-09-24,2035.64,1056.09,1004.94
2014-09-25,2034.11,1055.33,1004.14
2014-09-26,2031.64,1055.65,1004.49
2014-09-27,2031.64,1053.07,1001.62
2014-09-28,2031.64,1052.38,1000.83
2014-09-29,2026.6,1053.02,1001.53
2014-09-30,2020.09,1056.35,1005.21
2014-10-01,1991.54,1056.49,1005.36
2014-10-02,1976.16,1058.24,1007.22
2014-10-03,1976.16,1058.27,1007.26
2014-10-04,1976.16,1057.33,1006.28
2014-10-05,1976.16,1057.3,1006.24
2014-10-06,1968.39,1055.04,1003.9
2014-10-07,1972.91,1056.05,1004.96
2014-10-08,1965.25,1054.69,1003.44
2014-10-09,1965.25,1056.71,1005.76
2014-10-10,1940.92,1058.03,1007.29
2014-10-11,1940.92,1057.88,1007.12
2014-10-12,1940.92,1058.28,1007.56
2014-10-13,1927.21,1055.57,1004.5
2014-10-14,1929.25,1052.2,1000.47
2014-10-15,1925.91,1053.11,1001.47
2014-10-16,1918.83,1052.84,1001.18
2014-10-17,1900.66,1053.38,1001.81
2014-10-18,1900.66,1055.48,1004.12
2014-10-19,1900.66,1056.47,1005.25
2014-10-20,1930.06,1055.87,1004.55
2014-10-21,1915.28,1056.2,1004.89
2014-10-22,1936.97,1056.12,1004.8
2014-10-23,1931.65,1057.3,1006.04
2014-10-24,1925.69,1057.3,1006.05
2014-10-25,1925.69,1057.42,1006.18
2014-10-26,1925.69,1058.09,1006.94
2014-10-27,1931.97,1058.41,1007.29
2014-10-28,1925.68,1057.76,1006.57
2014-10-29,1961.17,1055.94,1004.55
2014-10-30,1958.93,1056.78,1005.39
2014-10-31,1964.43,1057.8,1006.54
2014-11-01,1964.43,1059.01,1007.86
2014-11-02,1964.43,1058.93,1007.77
2014-11-03,1952.97,1058.24,1007
2014-11-04,1935.19,1059.18,1008.03
2014-11-05,1931.43,1058.41,1007.17
2014-11-06,1936.48,1060.91,1009.85
2014-11-07,1939.87,1060.43,1009.32
2014-11-08,1939.87,1060.57,1009.47
2014-11-09,1939.87,1061.91,1010.93
2014-11-10,1958.23,1062.49,1011.56
2014-11-11,1963,1062.29,1011.34
2014-11-12,1967.27,1062.51,1011.6
2014-11-13,1960.51,1061.26,1010.22
2014-11-14,1945.14,1061.67,1010.7
2014-11-15,1945.14,1063.81,1013
2014-11-16,1945.14,1063.38,1012.52
2014-11-17,1943.63,1063.51,1012.65
2014-11-18,1967.01,1063.84,1013.03
2014-11-19,1966.87,1062.09,1011.08
2014-11-20,1958.04,1063.41,1012.5
2014-11-21,1964.84,1064.49,1013.72
2014-11-22,1964.84,1064.79,1014.04
2014-11-23,1964.84,1063.88,1012.99
2014-11-24,1978.54,1063.12,1012.14
2014-11-25,1980.21,1062.25,1011.15
2014-11-26,1980.84,1061.87,1010.74
2014-11-27,1982.09,1059.38,1007.93
2014-11-28,1980.78,1059.38,1007.94
2014-11-29,1980.78,1057.96,1006.37
2014-11-30,1980.78,1058.73,1007.24
2014-12-01,1965.22,1063.39,1012.34
2014-12-02,1965.83,1063.62,1012.6
2014-12-03,1969.91,1065.12,1014.18
2014-12-04,1986.61,1064.41,1013.42
2014-12-05,1986.62,1066.25,1015.38
2014-12-06,1986.62,1065.54,1014.65
2014-12-07,1986.62,1065.7,1014.82
2014-12-08,1978.95,1065.36,1014.43
2014-12-09,1970.95,1064.13,1013.06
2014-12-10,1945.56,1065.2,1014.16
2014-12-11,1916.59,1065.48,1014.48
2014-12-12,1921.71,1062.04,1010.67
2014-12-13,1921.71,1060.49,1008.94
2014-12-14,1921.71,1059.12,1007.47
2014-12-15,1920.36,1057.27,1005.31
2014-12-16,1904.13,1057.69,1005.77
2014-12-17,1900.16,1055.19,1003.17
2014-12-18,1897.5,1056.36,1004.47
2014-12-19,1929.98,1059.27,1007.56
2014-12-20,1929.98,1059.72,1008.04
2014-12-21,1929.98,1059.63,1007.94
2014-12-22,1943.12,1058.45,1006.62
2014-12-23,1939.02,1059.06,1007.24
2014-12-24,1946.61,1056.23,1004.21
2014-12-25,1946.61,1056.79,1004.85
2014-12-26,1948.16,1056.85,1004.92
2014-12-27,1948.16,1059.17,1007.53
2014-12-28,1948.16,1058.94,1007.26
2014-12-29,1927.86,1057.5,1005.7
2014-12-30,1915.59,1056.4,1004.44
2014-12-31,1915.59,1057.42,1005.52
2015-01-01,1915.59,1056.08,1004.02
2015-01-02,1926.44,1059.1,1007.23
2015-01-03,1926.44,1062.92,1011.42
2015-01-04,1926.44,1063.43,1011.98
2015-01-05,1915.75,1064.69,1013.39
2015-01-06,1882.45,1064.3,1012.97
2015-01-07,1883.83,1063.91,1012.52
2015-01-08,1904.65,1064.36,1012.99
2015-01-09,1924.7,1062.56,1010.9
2015-01-10,1924.7,1063.04,1011.43
2015-01-11,1924.7,1065.36,1014.05
2015-01-12,1920.95,1066.38,1015.22
2015-01-13,1917.14,1067.08,1016.01
2015-01-14,1913.66,1067.58,1016.58
2015-01-15,1914.14,1067.37,1016.36
2015-01-16,1888.13,1069.16,1018.16
2015-01-17,1888.13,1069.62,1018.64
2015-01-18,1888.13,1069.55,1018.56
2015-01-19,1902.62,1067.7,1016.5
2015-01-20,1918.31,1063.05,1011.44
2015-01-21,1921.23,1062.63,1011.01
2015-01-22,1920.82,1057.84,1005.72
2015-01-23,1936.09,1061.31,1009.46
2015-01-24,1936.09,1062.36,1010.58
2015-01-25,1936.09,1063.79,1012.19
2015-01-26,1935.68,1063.72,1012.11
2015-01-27,1952.4,1066.07,1014.64
2015-01-28,1961.58,1065.47,1013.95
2015-01-29,1951.02,1061.92,1009.72
2015-01-30,1949.26,1064.43,1012.49
2015-01-31,1949.26,1064.43,1012.5
2015-02-01,1949.26,1066.14,1014.41
2015-02-02,1952.68,1066.16,1014.44
2015-02-03,1951.96,1066.06,1014.33
2015-02-04,1962.79,1066.89,1015.24
2015-02-05,1952.84,1066.65,1014.98
2015-02-06,1955.52,1066.93,1015.28
2015-02-07,1955.52,1067.4,1015.8
2015-02-08,1955.52,1065.72,1013.99
2015-02-09,1947,1067.18,1015.46
2015-02-10,1935.86,1067.32,1015.61
2015-02-11,1945.7,1068.25,1016.64
2015-02-12,1941.63,1068.75,1017.22
2015-02-13,1957.5,1071.28,1020.08
2015-02-14,1957.5,1070.92,1019.7
2015-02-15,1957.5,1071.13,1019.93
2015-02-16,1958.23,1073.28,1022.25
2015-02-17,1961.45,1073,1021.93
2015-02-18,1961.45,1074.65,1023.73
2015-02-19,1961.45,1076.08,1025.35
2015-02-20,1961.45,1075.18,1024.33
2015-02-21,1961.45,1076.32,1025.66
2015-02-22,1961.45,1075.79,1025.11
2015-02-23,1968.39,1076.5,1025.84
2015-02-24,1976.12,1073.94,1023.1
2015-02-25,1990.47,1076.37,1025.91
2015-02-26,1993.08,1077.66,1027.29
2015-02-27,1985.8,1078.95,1028.68
2015-02-28,1985.8,1077.49,1027
2015-03-01,1985.8,1078.67,1028.38
2015-03-02,1996.81,1077.27,1026.86
2015-03-03,2001.38,1077.51,1027.13
2015-03-04,1998.29,1078.79,1028.54
2015-03-05,1998.38,1079.53,1029.4
2015-03-06,2012.94,1080.38,1030.36
2015-03-07,2012.94,1082.24,1032.49
2015-03-08,2012.94,1082.18,1032.42
2015-03-09,1992.82,1083.36,1033.74
2015-03-10,1984.77,1084.07,1034.52
2015-03-11,1980.83,1084.56,1035.06
2015-03-12,1970.59,1084.77,1035.28
2015-03-13,1985.79,1082.91,1033.08
2015-03-14,1985.79,1084.28,1034.5
2015-03-15,1985.79,1085.9,1036.27
2015-03-16,1987.33,1085.28,1035.59
2015-03-17,2029.91,1087.15,1037.7
2015-03-18,2028.45,1089,1039.66
2015-03-19,2037.89,1089.42,1040.14
2015-03-20,2037.24,1088.85,1039.51
2015-03-21,2037.24,1090.09,1040.9
2015-03-22,2037.24,1090.25,1041.08
2015-03-23,2036.59,1089.95,1040.76
2015-03-24,2041.37,1094.14,1045.79
2015-03-25,2042.81,1096.27,1048.24
2015-03-26,2022.56,1099.08,1051.58
2015-03-27,2019.8,1099.51,1052.06
2015-03-28,2019.8,1100.24,1052.86
2015-03-29,2019.8,1097.11,1049.42
2015-03-30,2030.04,1095.73,1047.89
2015-03-31,2041.03,1097.21,1049.43
2015-04-01,2028.45,1095.97,1048.01
2015-04-02,2029.07,1101.29,1054.04
2015-04-03,2045.42,1101.42,1054.19
2015-04-04,2045.42,1105.41,1058.64
2015-04-05,2045.42,1105.64,1058.88
2015-04-06,2046.43,1103.4,1056.29
2015-04-07,2047.03,1104.53,1057.57
2015-04-08,2059.26,1101.94,1054.54
2015-04-09,2058.87,1100.49,1052.95
2015-04-10,2087.76,1099.58,1051.97
2015-04-11,2087.76,1097.58,1049.73
2015-04-12,2087.76,1099.76,1052.05
2015-04-13,2098.92,1098.53,1050.71
2015-04-14,2111.72,1101.6,1054.14
2015-04-15,2119.96,1105.87,1058.73
2015-04-16,2139.9,1109.69,1062.9
2015-04-17,2143.5,1110.94,1064.26
2015-04-18,2143.5,1112.5,1066.15
2015-04-19,2143.5,1115.38,1069.51
2015-04-20,2146.71,1116.69,1070.98
2015-04-21,2144.79,1116.14,1070.37
2015-04-22,2143.89,1118.47,1072.85
2015-04-23,2173.41,1125.61,1080.72
2015-04-24,2159.8,1123.38,1078.42
2015-04-25,2159.8,1120.48,1075.25
2015-04-26,2159.8,1121.23,1076.1
2015-04-27,2157.54,1126.78,1082.06
2015-04-28,2147.67,1127.57,1082.93
2015-04-29,2142.63,1127.89,1083.29
2015-04-30,2127.17,1129.15,1084.74
2015-05-01,2127.17,1124.14,1079.45
2015-05-02,2127.17,1114.85,1068.7
2015-05-03,2127.17,1117.8,1071.92
2015-05-04,2132.23,1120.54,1074.87
2015-05-05,2132.23,1111.05,1064.65
2015-05-06,2104.58,1110.55,1064.08
2015-05-07,2091,1113.42,1067.22
2015-05-08,2085.52,1110.49,1063.99
2015-05-09,2085.52,1111.04,1064.57
2015-05-10,2085.52,1116.18,1070.28
2015-05-11,2097.38,1117.02,1071.24
2015-05-12,2096.77,1107.54,1059.89
2015-05-13,2114.16,1110.49,1063.25
2015-05-14,2120.33,1107.39,1059.71
2015-05-15,2106.5,1094.13,1044.87
2015-05-16,2106.5,1087.19,1037.25
2015-05-17,2106.5,1097.83,1048.58
2015-05-18,2113.72,1098.28,1049.07
2015-05-19,2120.85,1101.01,1052.26
2015-05-20,2139.54,1106.02,1057.94
2015-05-21,2122.81,1104.71,1056.45
2015-05-22,2146.1,1106.04,1057.92
2015-05-23,2146.1,1109.7,1061.69
2015-05-24,2146.1,1109.64,1061.62
2015-05-25,2146.1,1111.5,1063.53
2015-05-26,2143.5,1115.31,1067.62
2015-05-27,2107.5,1115.72,1068.07
2015-05-28,2110.89,1114.96,1067.19
2015-05-29,2114.8,1113.78,1065.84
2015-05-30,2114.8,1116.73,1069.08
2015-05-31,2114.8,1116.09,1068.32
2015-06-01,2102.37,1110.17,1061.25
2015-06-02,2078.64,1111.68,1062.97
2015-06-03,2063.16,1107.09,1057.88
2015-06-04,2072.86,1111.29,1062.37
2015-06-05,2068.1,1113.83,1065.04
2015-06-06,2068.1,1113.99,1065.22
2015-06-07,2068.1,1109.98,1060.57
2015-06-08,2065.19,1118.14,1069.21
2015-06-09,2064.03,1119.41,1070.63
2015-06-10,2051.32,1120.4,1071.74
2015-06-11,2056.61,1123.98,1075.7
2015-06-12,2052.17,1124.06,1075.8
2015-06-13,2052.17,1126.08,1078.05
2015-06-14,2052.17,1133.3,1085.95
2015-06-15,2042.32,1131.45,1084.07
2015-06-16,2028.72,1130.3,1082.68
2015-06-17,2034.86,1132.3,1085.06
2015-06-18,2041.88,1132.59,1085.4
2015-06-19,2046.96,1136,1089.3
2015-06-20,2046.96,1137.87,1091.49
2015-06-21,2046.96,1133.48,1086.75
2015-06-22,2055.16,1133.83,1087.12
2015-06-23,2081.2,1129.87,1082.81
2015-06-24,2085.53,1127.08,1079.66
2015-06-25,2085.06,1129.15,1081.79
2015-06-26,2090.26,1125.26,1077.44
2015-06-27,2090.26,1117.47,1069
2015-06-28,2090.26,1121.89,1074.27
2015-06-29,2060.49,1120.44,1072.53
2015-06-30,2074.2,1125.85,1078.4
2015-07-01,2097.89,1132.37,1085.38
2015-07-02,2107.33,1136.82,1090.24
2015-07-03,2104.41,1135.33,1088.65
2015-07-04,2104.41,1136.74,1090.21
2015-07-05,2104.41,1137.05,1090.57
2015-07-06,2053.93,1131.31,1084.21
2015-07-07,2040.29,1130.53,1083.37
2015-07-08,2016.21,1135.46,1089.2
2015-07-09,2027.81,1135,1088.65
2015-07-10,2031.17,1126.46,1079.43
2015-07-11,2031.17,1128.58,1081.71
2015-07-12,2031.17,1120.83,1073.2
2015-07-13,2061.52,1121.63,1074.04
2015-07-14,2059.23,1126.99,1079.8
2015-07-15,2072.91,1124.29,1076.92
2015-07-16,2087.89,1121.2,1073.64
2015-07-17,2076.79,1117.26,1069.14
2015-07-18,2076.79,1114.47,1066.25
2015-07-19,2076.79,1106.49,1057.45
2015-07-20,2073.31,1105.78,1056.64
2015-07-21,2083.62,1103.49,1053.91
2015-07-22,2064.73,1113.06,1065.29
2015-07-23,2065.07,1113.42,1065.69
2015-07-24,2045.96,1110.17,1061.92
2015-07-25,2045.96,1115.89,1067.85
2015-07-26,2045.96,1118.88,1071.24
2015-07-27,2038.81,1118.6,1070.93
2015-07-28,2039.1,1120.83,1073.49
2015-07-29,2037.62,1123.76,1076.69
2015-07-30,2019.03,1126.16,1079.37
2015-07-31,2030.16,1124.1,1077.01
2015-08-01,2030.16,1121.28,1073.72
2015-08-02,2030.16,1123.7,1076.32
2015-08-03,2008.49,1123.99,1076.62
2015-08-04,2027.99,1122.21,1074.64
2015-08-05,2029.76,1118.8,1070.71
2015-08-06,2013.29,1112.19,1063.11
2015-08-07,2010.23,1114.38,1065.49
2015-08-08,2010.23,1112.31,1063.19
2015-08-09,2010.23,1117.42,1068.56
2015-08-10,2003.17,1122.44,1074.13
2015-08-11,1986.65,1120.87,1072.43
2015-08-12,1975.47,1120.77,1072.32
2015-08-13,1983.46,1118.68,1070.18
2015-08-14,1983.46,1112.98,1063.72
2015-08-15,1983.46,1112.35,1063.06
2015-08-16,1983.46,1113.34,1064.2
2015-08-17,1968.52,1108.67,1058.99
